                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.218,                0.74447,                 1.1925,                0.82875,                0.75441,                0.80382,                0.36903,                  1.872,                0.93197,                 1.6363,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1979,                 0.7308,                 1.1803,                0.81381,                0.75652,                0.78725,                0.36854,                 1.9046,                0.95146,                 1.6186,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1892,                 0.7171,                  1.173,                0.80596,                0.78533,                0.81416,                0.41337,                  1.714,                0.88589,                 1.5178,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1823,                0.70857,                 1.1715,                0.81756,                0.81522,                0.85263,                0.42983,                  1.751,                0.83126,                 1.5181,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1584,                0.69321,                 1.1578,                0.80278,                0.78725,                0.80451,                0.36528,                 1.9334,                0.95156,                 1.6885,             0.00044576,             0.00044576,             0.00044576
                     40,                  1.157,                0.69198,                 1.1564,                0.79193,                0.77599,                0.80348,                0.41741,                 1.7266,                0.92811,                 1.5232,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1523,                0.62535,                 1.1723,                0.83762,                0.79465,                0.83031,                0.40232,                 1.8257,                0.91875,                 1.6015,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1259,                0.60555,                 1.1561,                 0.8429,                0.76739,                0.81585,                0.40026,                 1.7651,                0.91704,                  1.553,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1047,                0.59416,                 1.1394,                0.80438,                0.78112,                 0.8115,                0.40821,                 1.7821,                0.93189,                 1.5525,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.0995,                0.59091,                 1.1365,                0.85362,                0.79688,                0.84016,                0.44066,                 1.6881,                0.85968,                 1.4854,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.0823,                 0.5793,                 1.1305,                0.86603,                 0.7494,                0.82397,                0.43124,                 1.6993,                0.88579,                 1.4887,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.0705,                0.56457,                 1.1219,                0.86856,                0.76141,                0.84061,                0.43253,                 1.7212,                0.89815,                 1.5153,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0539,                0.55963,                 1.1111,                0.84548,                0.79205,                0.83459,                0.41664,                 1.7494,                 0.8845,                 1.5547,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0468,                0.55517,                 1.1052,                0.85825,                0.79179,                 0.8484,                0.40338,                 1.8319,                0.91554,                 1.6056,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.0308,                0.54492,                 1.1038,                0.87455,                 0.7913,                0.85376,                 0.4251,                 1.7746,                0.86246,                 1.5721,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.0228,                0.54158,                 1.1005,                0.84673,                0.76676,                 0.8257,                0.42997,                  1.715,                0.91342,                 1.5338,             8.2683e-05,             8.2683e-05,             8.2683e-05
